al-step,ensemble-time,ensemble,precision,benchmark,f1,synth-time,eval-time,al-time,recall,run,examples,threshold
8,3.700482130050659,weighted-vote,1.0,wiki-cell,1.0,46.93159317970276,523.8238446712494,0.47040724754333496,1.0,2,1,0
9,3.700482130050659,weighted-vote,1.0,wiki-cell,1.0,46.93159317970276,523.8238446712494,0.4978761672973633,1.0,2,1,0
10,3.700482130050659,weighted-vote,1.0,wiki-cell,1.0,46.93159317970276,523.8238446712494,0.5735950469970703,1.0,2,1,0
0,12.820527791976929,disjunction,0.014651162790697675,wiki-cell,0.028879211551684617,173.0984377861023,1818.7204008102417,0.3133871555328369,1.0,3,1,0
0,12.820527791976929,majority-vote,0.014651162790697675,wiki-cell,0.028879211551684617,173.0984377861023,1818.7204008102417,0.3728969097137451,1.0,3,1,0.0
0,12.820527791976929,majority-vote,0.022613065326633167,wiki-cell,0.044226044226044224,173.0984377861023,1818.7204008102417,0.3757352828979492,1.0,3,1,0.003333333333333333
0,12.820527791976929,majority-vote,0.024110218140068886,wiki-cell,0.04708520179372197,173.0984377861023,1818.7204008102417,0.3196706771850586,1.0,3,1,0.006666666666666666
0,12.820527791976929,majority-vote,0.25609756097560976,wiki-cell,0.4077669902912621,173.0984377861023,1818.7204008102417,0.32437801361083984,1.0,3,1,0.01
0,12.820527791976929,majority-vote,0.4846153846153846,wiki-cell,0.6528497409326425,173.0984377861023,1818.7204008102417,0.3509995937347412,1.0,3,1,0.013333333333333332
0,12.820527791976929,majority-vote,0.4883720930232558,wiki-cell,0.65625,173.0984377861023,1818.7204008102417,0.22963166236877441,1.0,3,1,0.016666666666666666
0,12.820527791976929,majority-vote,0.4883720930232558,wiki-cell,0.65625,173.0984377861023,1818.7204008102417,0.1869800090789795,1.0,3,1,0.02
0,12.820527791976929,majority-vote,0.39285714285714285,wiki-cell,0.4489795918367347,173.0984377861023,1818.7204008102417,0.24036312103271484,0.5238095238095238,3,1,0.023333333333333334
0,12.820527791976929,majority-vote,0.4230769230769231,wiki-cell,0.4680851063829788,173.0984377861023,1818.7204008102417,0.23244833946228027,0.5238095238095238,3,1,0.026666666666666665
0,12.820527791976929,majority-vote,0.4230769230769231,wiki-cell,0.4680851063829788,173.0984377861023,1818.7204008102417,0.21955084800720215,0.5238095238095238,3,1,0.03
0,12.820527791976929,weighted-vote,0.0,wiki-cell,0.0,173.0984377861023,1818.7204008102417,0.4500315189361572,0.0,3,1,0
1,12.820527791976929,weighted-vote,0.2857142857142857,wiki-cell,0.057142857142857134,173.0984377861023,1818.7204008102417,0.456831693649292,0.031746031746031744,3,1,0
2,12.820527791976929,weighted-vote,1.0,wiki-cell,0.06153846153846154,173.0984377861023,1818.7204008102417,0.5064091682434082,0.031746031746031744,3,1,0
3,12.820527791976929,weighted-vote,1.0,wiki-cell,0.32,173.0984377861023,1818.7204008102417,0.47813963890075684,0.19047619047619047,3,1,0
4,12.820527791976929,weighted-vote,1.0,wiki-cell,1.0,173.0984377861023,1818.7204008102417,0.8450334072113037,1.0,3,1,0
5,12.820527791976929,weighted-vote,1.0,wiki-cell,1.0,173.0984377861023,1818.7204008102417,0.8442919254302979,1.0,3,1,0
6,12.820527791976929,weighted-vote,1.0,wiki-cell,1.0,173.0984377861023,1818.7204008102417,0.856001615524292,1.0,3,1,0
7,12.820527791976929,weighted-vote,1.0,wiki-cell,1.0,173.0984377861023,1818.7204008102417,0.8625071048736572,1.0,3,1,0
